seed,model,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
42,most_popular,0.04919957310565634,0.10097131168369163,0.08759238418784393,0.1515832782775152,0.31856990394877266
42,content_based,0.03436499466382071,0.07075646694109874,0.06199297082932095,0.11824443936236892,0.2657417289220918
42,user_user_cf,0.026200640341515476,0.05405401399264793,0.04367620863689387,0.07998678660364893,0.21718249733191036
42,item_item_cf,0.014194236926360727,0.026192805475089356,0.022924187079798073,0.046186961088241774,0.11899679829242263
42,matrix_factorization,0.13116328708644612,0.27154884721586964,0.2516794687008407,0.40245612474801373,0.6808964781216649
42,friend_based,0.08452508004268945,0.17346944825600108,0.17011219817456652,0.3007191136860294,0.4855923159018143
42,hybrid_cf_social,0.0845784418356457,0.17357617184191357,0.17016451369528762,0.30077247547898556,0.48612593383137676
1,most_popular,0.04943699731903486,0.1043921017915656,0.09294365859854432,0.16433443976339418,0.3206434316353887
1,content_based,0.033994638069705096,0.0686471764755947,0.060895098148144165,0.11424273373335035,0.25361930294906165
1,user_user_cf,0.02798927613941019,0.056857313077152215,0.04441109126013672,0.07824396782841823,0.22359249329758712
1,item_item_cf,0.013154602323503128,0.026563896336014296,0.02135130258657789,0.04031128984212094,0.11099195710455764
1,matrix_factorization,0.13158176943699734,0.26966721988169706,0.25179253703353194,0.41423783990808116,0.6873994638069705
1,friend_based,0.08675603217158177,0.17899059534448278,0.17621722737934153,0.3112398399931912,0.500804289544236
1,hybrid_cf_social,0.08691689008042897,0.17929443806119408,0.17638575875822643,0.31144984892974176,0.5024128686327077
7,most_popular,0.048340471092077085,0.10077920532952651,0.08940788087790673,0.15552475272764352,0.3153104925053533
7,content_based,0.03394004282655246,0.06827924781618572,0.06299500661349167,0.12482984092994799,0.262847965738758
7,user_user_cf,0.025588865096359742,0.05101500628802555,0.039662655120657454,0.07102197410013256,0.21359743040685225
7,item_item_cf,0.015225731620271235,0.02940501682471704,0.024986528169736608,0.04897182284762585,0.1279443254817987
7,matrix_factorization,0.13485010706638118,0.27406996703035247,0.2527173671488108,0.4088115206825057,0.7050321199143469
7,friend_based,0.08771413276231264,0.17874902280683866,0.17382793544050062,0.3057369735902926,0.5048179871520343
7,hybrid_cf_social,0.0876338329764454,0.17874902280683866,0.17382793544050062,0.3057369735902926,0.5048179871520343
123,most_popular,0.0519034852546917,0.10408932294991274,0.08801081423777138,0.14958232265202775,0.3297587131367292
123,content_based,0.03603217158176944,0.07347142431592833,0.06634489609014405,0.13027937359036554,0.27882037533512066
123,user_user_cf,0.026648793565683646,0.05339886803693774,0.04416604215958113,0.08194306140686838,0.21447721179624665
123,item_item_cf,0.015013404825737266,0.029320396612621813,0.025028715862493913,0.049409336567513513,0.12654155495978553
123,matrix_factorization,0.13624664879356568,0.27831397080726844,0.2573297118709232,0.41430911953700156,0.7018766756032172
123,friend_based,0.08973190348525469,0.1825452146899868,0.18015123835823257,0.31668007149240396,0.5024128686327077
123,hybrid_cf_social,0.08975871313672923,0.182723945699817,0.18026809093962895,0.3167873100983021,0.5029490616621984
2024,most_popular,0.04796791443850267,0.09650114591291062,0.08646958123001958,0.15257830404889228,0.3085561497326203
2024,content_based,0.03572192513368984,0.07183027756557168,0.06693477330235001,0.13218911807147102,0.26737967914438504
2024,user_user_cf,0.024705882352941178,0.049465028435616676,0.03950522469462535,0.07092309651133182,0.2021390374331551
2024,item_item_cf,0.013885918003565064,0.027512944571768103,0.023318761400537204,0.045574229691876744,0.11871657754010695
2024,matrix_factorization,0.13427807486631016,0.2726536372124608,0.25807179106121597,0.42791083099906624,0.7016042780748664
2024,friend_based,0.08903743315508021,0.1822224344283168,0.18112663742237575,0.32404188948306595,0.513903743315508
2024,hybrid_cf_social,0.08909090909090911,0.1822818521347933,0.18117141010365873,0.3241310160427808,0.5144385026737968
